Country,Region,Subregion
Burundi,AFRICA,Eastern Africa
Comoros,AFRICA,Eastern Africa
Djibouti,AFRICA,Eastern Africa
Eritrea,AFRICA,Eastern Africa
Ethiopia,AFRICA,Eastern Africa
Kenya,AFRICA,Eastern Africa
Madagascar,AFRICA,Eastern Africa
Malawi,AFRICA,Eastern Africa
Mauritius,AFRICA,Eastern Africa
Mayotte,AFRICA,Eastern Africa
Mozambique,AFRICA,Eastern Africa
Reunion,AFRICA,Eastern Africa
Rwanda,AFRICA,Eastern Africa
Seychelles,AFRICA,Eastern Africa
Somalia,AFRICA,Eastern Africa
South Sudan,AFRICA,Eastern Africa
Uganda,AFRICA,Eastern Africa
United Republic of Tanzania,AFRICA,Eastern Africa
Tanzania,AFRICA,Eastern Africa
Zambia,AFRICA,Eastern Africa
Zimbabwe,AFRICA,Eastern Africa
Angola,AFRICA,Middle Africa
Cameroon,AFRICA,Middle Africa
Central African Republic,AFRICA,Middle Africa
Chad,AFRICA,Middle Africa
Congo,AFRICA,Middle Africa
Democratic Republic of the Congo,AFRICA,Middle Africa
Equatorial Guinea,AFRICA,Middle Africa
Gabon,AFRICA,Middle Africa
Sao Tome and Principe,AFRICA,Middle Africa
Algeria,AFRICA,Northern Africa
Egypt,AFRICA,Northern Africa
Libya,AFRICA,Northern Africa
Morocco,AFRICA,Northern Africa
Sudan,AFRICA,Northern Africa
Tunisia,AFRICA,Northern Africa
Western Sahara,AFRICA,Northern Africa
Botswana,AFRICA,Southern Africa
Lesotho,AFRICA,Southern Africa
Namibia,AFRICA,Southern Africa
South Africa,AFRICA,Southern Africa
Swaziland,AFRICA,Southern Africa
Benin,AFRICA,Western Africa
Burkina Faso,AFRICA,Western Africa
Cabo Verde,AFRICA,Western Africa
CÈte d'Ivoire,AFRICA,Western Africa
Gambia,AFRICA,Western Africa
Ghana,AFRICA,Western Africa
Guinea,AFRICA,Western Africa
Guinea-Bissau,AFRICA,Western Africa
Liberia,AFRICA,Western Africa
Mali,AFRICA,Western Africa
Mauritania,AFRICA,Western Africa
Niger,AFRICA,Western Africa
Nigeria,AFRICA,Western Africa
Saint Helena,AFRICA,Western Africa
Senegal,AFRICA,Western Africa
Sierra Leone,AFRICA,Western Africa
Togo,AFRICA,Western Africa
China,ASIA,Eastern Asia
Taiwan,ASIA,Eastern Asia
"China, Hong Kong SAR",ASIA,Eastern Asia
"China, Macao SAR",ASIA,Eastern Asia
Dem. People's Republic of Korea,ASIA,Eastern Asia
Japan,ASIA,Eastern Asia
Mongolia,ASIA,Eastern Asia
Republic of Korea,ASIA,Eastern Asia
Other non-specified areas,ASIA,Eastern Asia
Kazakhstan,ASIA,Central Asia
Kyrgyzstan,ASIA,Central Asia
Tajikistan,ASIA,Central Asia
Turkmenistan,ASIA,Central Asia
Uzbekistan,ASIA,Central Asia
Afghanistan,ASIA,Southern Asia
Bangladesh,ASIA,Southern Asia
Bhutan,ASIA,Southern Asia
India,ASIA,Southern Asia
Iran,ASIA,Southern Asia
Maldives,ASIA,Southern Asia
Nepal,ASIA,Southern Asia
Pakistan,ASIA,Southern Asia
Sri Lanka,ASIA,Southern Asia
Brunei Darussalam,ASIA,South-Eastern Asia
Cambodia,ASIA,South-Eastern Asia
Indonesia,ASIA,South-Eastern Asia
Lao People's Democratic Republic,ASIA,South-Eastern Asia
Malaysia,ASIA,South-Eastern Asia
Myanmar,ASIA,South-Eastern Asia
Philippines,ASIA,South-Eastern Asia
Singapore,ASIA,South-Eastern Asia
Thailand,ASIA,South-Eastern Asia
Timor-Leste,ASIA,South-Eastern Asia
Vietnam,ASIA,South-Eastern Asia
Armenia,ASIA,Western Asia
Azerbaijan,ASIA,Western Asia
Bahrain,ASIA,Western Asia
Cyprus,ASIA,Western Asia
Georgia,ASIA,Western Asia
Iraq,ASIA,Western Asia
Israel,ASIA,Western Asia
Jordan,ASIA,Western Asia
Kuwait,ASIA,Western Asia
Lebanon,ASIA,Western Asia
Oman,ASIA,Western Asia
Qatar,ASIA,Western Asia
Saudi Arabia,ASIA,Western Asia
State of Palestine,ASIA,Western Asia
Syria,ASIA,Western Asia
Turkey,ASIA,Western Asia
United Arab Emirates,ASIA,Western Asia
Yemen,ASIA,Western Asia
Belarus,EUROPE,Eastern Europe
Bulgaria,EUROPE,Eastern Europe
Czech Republic,EUROPE,Eastern Europe
Hungary,EUROPE,Eastern Europe
Poland,EUROPE,Eastern Europe
Republic of Moldova,EUROPE,Eastern Europe
Romania,EUROPE,Eastern Europe
Russia,EUROPE,Eastern Europe
Slovakia,EUROPE,Eastern Europe
Ukraine,EUROPE,Eastern Europe
Channel Islands,EUROPE,Northern Europe
Denmark,EUROPE,Northern Europe
Estonia,EUROPE,Northern Europe
Faeroe Islands,EUROPE,Northern Europe
Finland,EUROPE,Northern Europe
Iceland,EUROPE,Northern Europe
"Ireland, Republic of",EUROPE,Northern Europe
Wales,EUROPE,Northern Europe
Isle of Man,EUROPE,Northern Europe
Latvia,EUROPE,Northern Europe
Lithuania,EUROPE,Northern Europe
Norway,EUROPE,Northern Europe
Sweden,EUROPE,Northern Europe
United Kingdom,EUROPE,Northern Europe
Scotland,EUROPE,Northern Europe
Britain,EUROPE,Northern Europe
England,EUROPE,Northern Europe
Albania,EUROPE,Southern Europe
Andorra,EUROPE,Southern Europe
Bosnia-Herzegovina,EUROPE,Southern Europe
Croatia,EUROPE,Southern Europe
Gibraltar,EUROPE,Southern Europe
Greece,EUROPE,Southern Europe
Holy See,EUROPE,Southern Europe
Italy,EUROPE,Southern Europe
Malta,EUROPE,Southern Europe
Montenegro,EUROPE,Southern Europe
Portugal,EUROPE,Southern Europe
San Marino,EUROPE,Southern Europe
Serbia,EUROPE,Southern Europe
Yugoslavia,EUROPE,Southern Europe
Slovenia,EUROPE,Southern Europe
Spain,EUROPE,Southern Europe
Macedonia,EUROPE,Southern Europe
Austria,EUROPE,Western Europe
Belgium,EUROPE,Western Europe
France,EUROPE,Western Europe
Germany,EUROPE,Western Europe
Liechtenstein,EUROPE,Western Europe
Luxembourg,EUROPE,Western Europe
Monaco,EUROPE,Western Europe
Netherlands,EUROPE,Western Europe
Holland,EUROPE,Western Europe
Switzerland,EUROPE,Western Europe
Anguilla,LAC,Caribbean
Antigua and Barbuda,LAC,Caribbean
Aruba,LAC,Caribbean
Bahamas,LAC,Caribbean
Barbados,LAC,Caribbean
British Virgin Islands,LAC,Caribbean
Caribbean Netherlands,LAC,Caribbean
Cayman Islands,LAC,Caribbean
Cuba,LAC,Caribbean
Curaçao,LAC,Caribbean
Dominica,LAC,Caribbean
Dominican Republic,LAC,Caribbean
Grenada,LAC,Caribbean
Guadeloupe,LAC,Caribbean
Haiti,LAC,Caribbean
Jamaica,LAC,Caribbean
Martinique,LAC,Caribbean
Montserrat,LAC,Caribbean
Puerto Rico,LAC,Caribbean
Saint Kitts and Nevis,LAC,Caribbean
Saint Lucia,LAC,Caribbean
Saint Vincent and the Grenadines,LAC,Caribbean
Sint Maarten (Dutch part),LAC,Caribbean
Trinidad and Tobago,LAC,Caribbean
Turks and Caicos Islands,LAC,Caribbean
United States Virgin Islands,LAC,Caribbean
Belize,LAC,Central America
Costa Rica,LAC,Central America
El Salvador,LAC,Central America
Guatemala,LAC,Central America
Honduras,LAC,Central America
Mexico,LAC,Central America
Nicaragua,LAC,Central America
Panama,LAC,Central America
Argentina,LAC,South America
Bolivia,LAC,South America
Brazil,LAC,South America
Chile,LAC,South America
Colombia,LAC,South America
Ecuador,LAC,South America
Falkland Islands (Malvinas),LAC,South America
French Guiana,LAC,South America
Guyana,LAC,South America
Paraguay,LAC,South America
Peru,LAC,South America
Suriname,LAC,South America
Uruguay,LAC,South America
Venezuela,LAC,South America
Bermuda,NORTHAMERICA,North America
Canada,NORTHAMERICA,North America
Greenland,NORTHAMERICA,North America
Saint Pierre and Miquelon,NORTHAMERICA,North America
United States of America,NORTHAMERICA,North America
Australia,OCEANIA,Oceania
New Zealand,OCEANIA,Oceania
Fiji,OCEANIA,Oceania
New Caledonia,OCEANIA,Oceania
Papua New Guinea,OCEANIA,Oceania
Solomon Islands,OCEANIA,Oceania
Vanuatu,OCEANIA,Oceania
Guam,OCEANIA,Oceania
Kiribati,OCEANIA,Oceania
Marshall Islands,OCEANIA,Oceania
Micronesia (Fed. States of),OCEANIA,Oceania
Nauru,OCEANIA,Oceania
Northern Mariana Islands,OCEANIA,Oceania
Palau,OCEANIA,Oceania
American Samoa,OCEANIA,Oceania
Cook Islands,OCEANIA,Oceania
French Polynesia,OCEANIA,Oceania
Niue,OCEANIA,Oceania
Samoa,OCEANIA,Oceania
Tokelau,OCEANIA,Oceania
Tonga,OCEANIA,Oceania
Tuvalu,OCEANIA,Oceania
Wallis and Futuna Islands,OCEANIA,Oceania